                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.87655,                0.54138,                0.78959,                0.82271,                0.83528,                0.86915,                0.62369,                0.97818,                0.79328,                0.82765,             0.00015558,             0.00015558,             0.00015558
                     82,                0.88331,                0.56034,                0.79068,                0.82814,                0.83363,                0.87359,                0.63315,                0.97028,                0.78166,                 0.8268,             0.00014851,             0.00014851,             0.00014851
                     83,                 0.8826,                0.55473,                0.79042,                0.81671,                0.85552,                0.86635,                0.62672,                0.97527,                0.79486,                0.82759,             0.00014144,             0.00014144,             0.00014144
                     84,                0.88187,                0.55063,                0.79288,                0.82758,                  0.847,                0.87261,                0.62773,                0.96519,                0.78975,                0.82659,             0.00013437,             0.00013437,             0.00013437
                     85,                0.88207,                0.53986,                0.78953,                0.83072,                0.82932,                0.86186,                0.62491,                0.95625,                0.80184,                0.82583,             0.00012731,             0.00012731,             0.00012731
                     86,                0.86212,                0.53495,                 0.7918,                0.81613,                0.84334,                0.86699,                0.63072,                0.96452,                0.78519,                0.82693,             0.00012024,             0.00012024,             0.00012024
                     87,                0.86025,                0.52345,                0.78532,                0.81997,                  0.843,                0.86487,                0.63092,                0.96332,                0.79098,                0.82802,             0.00011317,             0.00011317,             0.00011317
                     88,                0.85024,                0.52129,                0.78682,                0.83484,                  0.835,                 0.8649,                0.62972,                0.95852,                0.79727,                 0.8267,              0.0001061,              0.0001061,              0.0001061
                     89,                0.83197,                0.49762,                 0.7813,                0.85651,                0.82969,                0.87096,                0.63685,                0.95691,                0.79639,                 0.8261,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     90,                0.84753,                   0.51,                 0.7881,                0.81284,                  0.854,                 0.8729,                0.63639,                0.95807,                0.79567,                0.82618,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     91,                 0.7974,                0.49709,                0.78744,                0.82948,                  0.834,                0.86578,                0.62582,                0.97751,                   0.79,                0.82698,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     92,                0.80103,                0.48862,                0.78608,                0.82572,                0.84335,                 0.8663,                0.62654,                0.97226,                 0.7876,                 0.8271,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     93,                0.78218,                0.47052,                0.78955,                0.80706,                  0.853,                0.87071,                0.62972,                0.97586,                0.81079,                0.82716,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     94,                0.78189,                 0.4637,                0.78588,                0.81484,                0.84935,                0.86385,                0.62781,                0.95684,                0.80811,                0.82598,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     95,                0.77655,                0.47724,                 0.7911,                0.80777,                  0.853,                0.86468,                0.63103,                0.95749,                0.81601,                0.82624,              5.662e-05,              5.662e-05,              5.662e-05
                     96,                0.76573,                0.46292,                0.78178,                0.81297,                0.84761,                0.86784,                0.63041,                0.96396,                0.79105,                0.82621,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     97,                0.74671,                0.45676,                0.78111,                0.79736,                  0.865,                0.86789,                0.62906,                 0.9641,                0.79473,                0.82664,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     98,                0.74808,                0.44037,                0.78212,                0.82858,                  0.828,                 0.8658,                0.63344,                0.95396,                0.79221,                0.82663,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     99,                0.74139,                0.45013,                0.77695,                0.83581,                0.82978,                0.86307,                0.62832,                0.95496,                0.79442,                0.82655,             2.8346e-05,             2.8346e-05,             2.8346e-05
                    100,                0.74145,                0.43663,                0.78839,                0.82294,                  0.842,                0.86301,                0.63117,                0.95413,                0.79134,                0.82641,             2.1277e-05,             2.1277e-05,             2.1277e-05
